Data,Otwarcie
2021-03-29,208.116
2021-03-30,238.66
2021-03-31,190.741
2021-04-01,182.148
2021-04-06,189.956
2021-04-07,189.229
2021-04-08,183.081
2021-04-09,175.194
2021-04-12,177.276
2021-04-13,178.711
2021-04-14,179.948
2021-04-15,177.561
2021-04-16,181.382
2021-04-19,170.823
2021-04-20,170.401
2021-04-21,165.156
2021-04-22,167.73
2021-04-23,168.948
2021-04-26,165.609
2021-04-27,158.468
2021-04-28,162.289
2021-04-29,167.062
2021-04-30,167.789
2021-05-04,167.268
2021-05-05,160.383
2021-05-06,153.223
2021-05-07,149.874
2021-05-10,155.611
2021-05-11,149.846
2021-05-12,148.214
2021-05-13,154.845
2021-05-14,152.242
2021-05-17,159.421
2021-05-18,166.581
2021-05-19,161.336
2021-05-20,161.542
2021-05-21,167.544
2021-05-24,164.194
2021-05-25,161.542
2021-05-26,157.516
2021-05-27,158.085
2021-05-28,169.635
2021-05-31,171.875
2021-06-01,153.331
2021-06-02,151.25
2021-06-04,161.876
2021-06-07,167.612
2021-06-08,166.257
2021-06-09,169.91
2021-06-10,173.937
2021-06-11,170.893
2021-06-14,182.874
2021-06-15,188.08
2021-06-16,203.303
2021-06-17,181.695
2021-06-18,178.749
2021-06-21,180.576
2021-06-22,179.712
2021-06-23,173.937
2021-06-24,174.821
2021-06-25,176.786
2021-06-28,176.412
2021-06-29,181.695
2021-06-30,184.033
2021-07-01,181.794
2021-07-02,186.293
2021-07-05,189.18
2021-07-06,188.473
2021-07-07,186.293
2021-07-08,188.571
2021-07-09,185.762
2021-07-12,186.803
2021-07-13,198.883
2021-07-14,199.375
2021-07-15,192.479
2021-07-16,191.458
2021-07-19,190.143
2021-07-20,183.522
2021-07-21,184.642
2021-07-22,183.955
2021-07-23,184.151
2021-07-26,185.527
2021-07-27,181.126
2021-07-28,179.948
2021-07-29,182.678
2021-07-30,179.397
2021-08-02,180.203
2021-08-03,173.839
2021-08-04,172.385
2021-08-05,172.739
2021-08-06,175.116
2021-08-09,171.875
2021-08-10,169.517
2021-08-11,163.231
2021-08-12,164.017
2021-08-13,164.607
2021-08-16,165.884
2021-08-17,162.545
2021-08-18,167.101
2021-08-19,164.095
2021-08-20,165.274
2021-08-23,163.193
2021-08-24,163.251
2021-08-25,162.76
2021-08-26,162.034
2021-08-27,165.216
2021-08-30,164.881
2021-08-31,164.783
2021-09-01,167.946
2021-09-02,176.786
2021-09-03,186.587
2021-09-06,183.994
2021-09-07,183.562
2021-09-08,181.695
2021-09-09,174.723
2021-09-10,177.472
2021-09-13,179.004
2021-09-14,185.625
2021-09-15,184.053
2021-09-16,187.588
2021-09-17,193.482
2021-09-20,188.689
2021-09-21,180.91
2021-09-22,182.874
2021-09-23,187.588
2021-09-24,189.297
2021-09-27,182.088
2021-09-28,177.079
2021-09-29,180.714
2021-09-30,182.776
2021-10-01,187.097
2021-10-04,184.76
2021-10-05,180.714
2021-10-06,189.258
2021-10-07,186.606
2021-10-08,190.417
2021-10-11,191.282
2021-10-12,191.675
2021-10-13,199.423
2021-10-14,205.071
2021-10-15,197.213
2021-10-18,185.428
2021-10-19,185.723
2021-10-20,193.482
2021-10-21,180.144
2021-10-22,177.767
2021-10-25,182.187
2021-10-26,183.915
2021-10-27,178.573
2021-10-28,175.783
2021-10-29,170.991
2021-11-02,173.053
2021-11-03,170.716
2021-11-04,170.912
2021-11-05,178.749
2021-11-08,175.627
2021-11-09,175.214
2021-11-10,179.004
2021-11-12,179.241
2021-11-15,181.421
2021-11-16,180.714
2021-11-17,181.205
2021-11-18,176.706
2021-11-19,176.786
2021-11-22,185.625
2021-11-23,190.536
2021-11-24,196.311
2021-11-25,185.625
2021-11-26,181.695
2021-11-29,183.66
2021-11-30,176.786
2021-12-01,180.262
2021-12-02,179.241
2021-12-03,178.337
2021-12-06,178.848
2021-12-07,181.597
2021-12-08,182.088
2021-12-09,180.714
2021-12-10,176.569
2021-12-13,175.469
2021-12-14,179.359
2021-12-15,170.107
2021-12-16,180.223
2021-12-17,179.457
2021-12-20,180.949
2021-12-21,187.588
2021-12-22,187.981
2021-12-23,194.306
2021-12-27,187.765
2021-12-28,190.536
2021-12-29,186.116
2021-12-30,185.821
2022-01-03,189.435
2022-01-04,197.312
2022-01-05,194.464
2022-01-07,196.821
2022-01-10,195.053
2022-01-11,186.116
2022-01-12,185.919
2022-01-13,189.553
2022-01-14,189.513
2022-01-17,188.08
2022-01-18,186.606
2022-01-19,188.571
2022-01-20,185.919
2022-01-21,185.625
2022-01-24,181.695
2022-01-25,174.821
2022-01-26,170.401
2022-01-27,168.889
2022-01-28,171.875
2022-01-31,166.178
2022-02-01,178.042
2022-02-02,178.749
2022-02-03,179.967
2022-02-04,179.732
2022-02-07,174.841
2022-02-08,176.058
2022-02-09,176.589
2022-02-10,180.518
2022-02-11,177.532
2022-02-14,170.578
2022-02-15,176.786
2022-02-16,184.151
2022-02-17,178.749
2022-02-18,176.786
2022-02-21,173.407
2022-02-22,163.035
2022-02-23,172.601
2022-02-24,157.143
2022-02-25,161.386
2022-02-28,158.537
2022-03-01,166.964
2022-03-02,164.017
2022-03-03,168.437
2022-03-04,160.089
2022-03-07,155.178
2022-03-08,159.106
2022-03-09,157.536
2022-03-10,159.814
2022-03-11,157.476
2022-03-14,160.718
2022-03-15,160.089
2022-03-16,165.982
2022-03-17,168.437
2022-03-18,170.676
2022-03-21,165.549
2022-03-22,183.602
2022-03-23,171.757
2022-03-24,174.821
2022-03-25,172.954
2022-03-28,171.992
2022-03-29,174.075
2022-03-30,175.116
2022-03-31,177.276
2022-04-01,170.893
2022-04-04,171.875
2022-04-05,171.875
2022-04-06,174.899
2022-04-07,173.446
2022-04-08,172.856
2022-04-11,167.062
2022-04-12,171.639
2022-04-13,166.964
2022-04-14,164.823
2022-04-19,164.017
2022-04-20,147.321
2022-04-21,135.535
2022-04-22,126.696
2022-04-25,124.732
2022-04-26,129.583
2022-04-27,125.714
2022-04-28,127.678
2022-04-29,121.943
2022-05-02,117.68
2022-05-04,117.857
2022-05-05,122.473
2022-05-06,114.911
2022-05-09,115.637
2022-05-10,115.264
2022-05-11,115.362
2022-05-12,115.028
2022-05-13,115.284
2022-05-16,118.348
2022-05-17,116.364
2022-05-18,122.571
2022-05-19,115.107
2022-05-20,114.911
2022-05-23,117.857
2022-05-24,113.575
2022-05-25,109.018
2022-05-26,106.562
2022-05-27,110.059
2022-05-30,111.964
2022-05-31,111.08
2022-06-01,107.348
2022-06-02,107.112
2022-06-03,106.955
2022-06-06,102.732
2022-06-07,104.558
2022-06-08,102.417
2022-06-09,101.651
2022-06-10,91.5845
2022-06-13,89.964
2022-06-14,86.9194
2022-06-15,89.8657
2022-06-17,88.7462
2022-06-20,88.9818
2022-06-21,91.5256
2022-06-22,88.5792
2022-06-23,88.3926
2022-06-24,89.8657
2022-06-27,93.0087
2022-06-28,93.6961
2022-06-29,94.7765
2022-06-30,95.2676
2022-07-01,93.6961
2022-07-04,97.1431
2022-07-05,96.0318
2022-07-06,90.8918
2022-07-07,97.1332
2022-07-08,102.998
2022-07-11,103.196
2022-07-12,103.692
2022-07-13,101.231
2022-07-14,96.8951
2022-07-15,94.2656
2022-07-18,94.2656
2022-07-19,93.0748
2022-07-20,94.8708
2022-07-21,94.2656
2022-07-22,92.281
2022-07-25,96.2501
2022-07-26,89.0363
2022-07-27,90.4949
2022-07-28,91.0705
2022-07-29,89.205
2022-08-01,88.6096
2022-08-02,89.3042
2022-08-03,85.9107
2022-08-04,87.8158
2022-08-05,91.7849
2022-08-08,92.7772
2022-08-09,91.259
2022-08-10,88.8081
2022-08-11,91.2888
2022-08-12,95.6547
2022-08-16,94.7319
2022-08-17,91.8345
2022-08-18,92.7772
2022-08-19,90.2667
2022-08-22,87.7166
2022-08-23,85.3947
2022-08-24,83.3506
2022-08-25,84.1444
2022-08-26,82.2591
2022-08-29,81.6836
2022-08-30,82.2194
2022-08-31,81.376
2022-09-01,83.3506
2022-09-02,81.2867
2022-09-05,81.4157
2022-09-06,81.5645
2022-09-07,80.3738
2022-09-08,80.3738
2022-09-09,84.0452
2022-09-12,87.3197
2022-09-13,84.7398
2022-09-14,85.2359
2022-09-15,89.8996
2022-09-16,89.1653
2022-09-19,94.3648
2022-09-20,89.1058
2022-09-21,87.7364
2022-09-22,86.0297
2022-09-23,89.3042
2022-09-26,94.2358
2022-09-27,101.529
2022-09-28,102.204
2022-09-29,106.173
2022-09-30,97.8576
2022-10-03,99.2269
2022-10-04,106.173
2022-10-05,117.425
2022-10-06,112.107
2022-10-07,110.142
2022-10-10,114.012
2022-10-11,113.615
2022-10-12,119.866
2022-10-13,113.119
2022-10-14,114.111
2022-10-17,113.615
2022-10-18,118.278
2022-10-19,121.712
2022-10-20,119.072
2022-10-21,117.068
2022-10-24,119.072
2022-10-25,119.568
2022-10-26,117.346
2022-10-27,121.513
2022-10-28,118.576
2022-10-31,123.041
2022-11-02,126.514
2022-11-03,131.972
2022-11-04,133.956
2022-11-07,138.898
2022-11-08,134.949
2022-11-09,134.651
2022-11-10,134.849
